"","Player","Runs","Mins","BF","4s","6s","SR","Inns","","Opposition","Ground","Start Date","","Country","Notout","Date","Year","Day","Month","Yday","Fours","Sixs","type"
"153","AB de Villiers (SA)",85,"118",80,"7","1",106.25,"1","","v New Zealand","Wellington","25 Feb 2017","","SA","",2017-02-25,2017,25,2,56,7,1,"ODI"
"154","DAS Gunaratne (SL)",85,"179",134,"7","0",63.43,"1","","v Bangladesh","Galle","7 Mar 2017","","SL","",2017-03-07,2017,7,3,66,7,0,"Test"
"155","Mushfiqur Rahim (BDESH)",85,"248",161,"8","1",52.79,"2","","v Sri Lanka","Galle","7 Mar 2017","","BDESH","",2017-03-07,2017,7,3,66,8,1,"Test"
"156","DAS Gunaratne (SL)",84,"82",46,"6","5",182.6,"2","","v Australia","Geelong","19 Feb 2017","","SL","TRUE",2017-02-19,2017,19,2,50,6,5,"T20I"
"157","Babar Azam (PAK)",84,"157",100,"4","1",84,"1","","v Australia","Perth","19 Jan 2017","","PAK","",2017-01-19,2017,19,1,19,4,1,"ODI"
"158","TWM Latham (NZ)",84,"-",92,"11","0",91.3,"1","","v Bangladesh","Dublin","24 May 2017","","NZ","",2017-05-24,2017,24,5,144,11,0,"ODI"
"159","CA Pujara (INDIA)",83,"205",177,"9","0",46.89,"1","","v Bangladesh","Hyderabad (Deccan)","9 Feb 2017","","INDIA","",2017-02-09,2017,9,2,40,9,0,"Test"
"160","AD Mathews (SL)",83,"159",130,"11","1",63.84,"2","","v India","Galle","26 Jul 2017","","SL","",2017-07-26,2017,26,7,207,11,1,"Test"
"161","HM Amla (SA)",83,"194",159,"13","1",52.2,"4","","v England","Manchester","4 Aug 2017","","SA","",2017-08-04,2017,4,8,216,13,1,"Test"
"162","PSP Handscomb (AUS)",82,"127",84,"6","0",97.61,"2","","v Pakistan","Perth","19 Jan 2017","","AUS","",2017-01-19,2017,19,1,19,6,0,"ODI"
"163","JJ Roy (ENG)",82,"103",73,"9","2",112.32,"2","","v India","Cuttack","19 Jan 2017","","ENG","",2017-01-19,2017,19,1,19,9,2,"ODI"
"164","AM Rahane (INDIA)",82,"200",133,"11","0",61.65,"1","","v Bangladesh","Hyderabad (Deccan)","9 Feb 2017","","INDIA","",2017-02-09,2017,9,2,40,11,0,"Test"
"165","Shakib Al Hasan (BDESH)",82,"153",103,"14","0",79.61,"2","","v India","Hyderabad (Deccan)","9 Feb 2017","","BDESH","",2017-02-09,2017,9,2,40,14,0,"Test"
"166","Tamim Iqbal (BDESH)",82,"137",125,"7","1",65.6,"4","","v Sri Lanka","Colombo (PSS)","15 Mar 2017","","BDESH","",2017-03-15,2017,15,3,74,7,1,"Test"
"167","M Vijay (INDIA)",82,"284",183,"10","1",44.8,"2","","v Australia","Ranchi","16 Mar 2017","","INDIA","",2017-03-16,2017,16,3,75,10,1,"Test"
"168","WTS Porterfield (IRE)",82,"103",83,"6","1",98.79,"2","","v England","Lord's","7 May 2017","","IRE","",2017-05-07,2017,7,5,127,6,1,"ODI"
"169","V Kohli (INDIA)",81,"108",68,"6","3",119.11,"1","","v Pakistan","Birmingham","4 Jun 2017","","INDIA","TRUE",2017-06-04,2017,4,6,155,6,3,"ODI"
"170","Mohammad Hafeez (PAK)",81,"-",86,"8","2",94.18,"2","","v West Indies","Providence","11 Apr 2017","","PAK","",2017-04-11,2017,11,4,101,8,2,"ODI"
"171","Javed Ahmadi (AFG)",81,"-",102,"8","2",79.41,"1","","v West Indies","Gros Islet","9 Jun 2017","","AFG","",2017-06-09,2017,9,6,160,8,2,"ODI"
"172","SD Hope (WI)",81,"-",88,"5","3",92.04,"2","","v India","Port of Spain","25 Jun 2017","","WI","",2017-06-25,2017,25,6,176,5,3,"ODI"
"173","N Dickwella (SL)",81,"151",118,"6","0",68.64,"4","","v Zimbabwe","Colombo (RPS)","14 Jul 2017","","SL","",2017-07-14,2017,14,7,195,6,0,"Test"
"174","A Mukund (INDIA)",81,"200",116,"8","0",69.82,"3","","v Sri Lanka","Galle","26 Jul 2017","","INDIA","",2017-07-26,2017,26,7,207,8,0,"Test"
"175","DAS Gunaratne (SL)",80,"210",151,"6","0",52.98,"4","","v Zimbabwe","Colombo (RPS)","14 Jul 2017","","SL","TRUE",2017-07-14,2017,14,7,195,6,0,"Test"
"176","Mohammad Shahzad (AFG)",80,"-",60,"8","3",133.33,"2","","v Oman","Dubai (DSC)","20 Jan 2017","","AFG","",2017-01-20,2017,20,1,20,8,3,"T20I"
"177","JA Raval (NZ)",80,"253",174,"10","0",45.97,"3","","v South Africa","Wellington","16 Mar 2017","","NZ","",2017-03-16,2017,16,3,75,10,0,"Test"
"178","D Elgar (SA)",80,"196",136,"12","0",58.82,"3","","v England","Nottingham","14 Jul 2017","","SA","",2017-07-14,2017,14,7,195,12,0,"Test"
"179","UT Khawaja (AUS)",79,"142",98,"5","1",80.61,"3","","v Pakistan","Sydney","3 Jan 2017","","AUS","TRUE",2017-01-03,2017,3,1,3,5,1,"Test"
"180","Babar Hayat (HKG)",79,"-",110,"7","0",71.81,"2","","v Scotland","Abu Dhabi","22 Jan 2017","","HKG","TRUE",2017-01-22,2017,22,1,22,7,0,"ODI"
"181","WU Tharanga (SL)",79,"107",73,"8","1",108.21,"1","","v Zimbabwe","Galle","30 Jun 2017","","SL","TRUE",2017-06-30,2017,30,6,181,8,1,"ODI"
"182","Sharjeel Khan (PAK)",79,"105",69,"9","2",114.49,"2","","v Australia","Adelaide","26 Jan 2017","","PAK","",2017-01-26,2017,26,1,26,9,2,"ODI"
"183","NT Broom (NZ)",79,"-",63,"9","1",125.39,"1","","v Ireland","Dublin (Malahide)","14 May 2017","","NZ","",2017-05-14,2017,14,5,134,9,1,"ODI"
"184","Mushfiqur Rahim (BDESH)",79,"101",72,"8","0",109.72,"1","","v England","The Oval","1 Jun 2017","","BDESH","",2017-06-01,2017,1,6,152,8,0,"ODI"
"185","MS Dhoni (INDIA)",78,"-",79,"4","2",98.73,"1","","v West Indies","North Sound","30 Jun 2017","","INDIA","TRUE",2017-06-30,2017,30,6,181,4,2,"ODI"
"186","JE Root (ENG)",78,"141",95,"4","1",82.1,"1","","v India","Pune","15 Jan 2017","","ENG","",2017-01-15,2017,15,1,15,4,1,"ODI"
"187","GJ Maxwell (AUS)",78,"70",44,"10","1",177.27,"1","","v Pakistan","Sydney","22 Jan 2017","","AUS","",2017-01-22,2017,22,1,22,10,1,"ODI"
"188","Rahmat Shah (AFG)",78,"-",92,"4","3",84.78,"1","","v Ireland","Greater Noida","15 Mar 2017","","AFG","",2017-03-15,2017,15,3,74,4,3,"ODI"
"189","RG Sharma (INDIA)",78,"107",79,"6","3",98.73,"1","","v Sri Lanka","The Oval","8 Jun 2017","","INDIA","",2017-06-08,2017,8,6,159,6,3,"ODI"
"190","S Dhawan (INDIA)",78,"130",83,"12","1",93.97,"2","","v South Africa","The Oval","11 Jun 2017","","INDIA","",2017-06-11,2017,11,6,162,12,1,"ODI"
"191","DJ Malan (ENG)",78,"60",44,"12","2",177.27,"1","","v South Africa","Cardiff","25 Jun 2017","","ENG","",2017-06-25,2017,25,6,176,12,2,"T20I"
"192","HM Amla (SA)",78,"213",149,"11","1",52.34,"1","","v England","Nottingham","14 Jul 2017","","SA","",2017-07-14,2017,14,7,195,11,1,"Test"
"193","JE Root (ENG)",78,"117",76,"12","0",102.63,"2","","v South Africa","Nottingham","14 Jul 2017","","ENG","",2017-07-14,2017,14,7,195,12,0,"Test"
"194","MM Ali (ENG)",77,"69",51,"5","5",150.98,"1","","v South Africa","Leeds","24 May 2017","","ENG","TRUE",2017-05-24,2017,24,5,144,5,5,"ODI"
"195","LRPL Taylor (NZ)",77,"160",103,"7","2",74.75,"2","","v Bangladesh","Christchurch","20 Jan 2017","","NZ","",2017-01-20,2017,20,1,20,7,2,"Test"
"196","MDKJ Perera (SL)",77,"-",53,"9","1",145.28,"2","","v Bangladesh","Colombo (RPS)","4 Apr 2017","","SL","",2017-04-04,2017,4,4,94,9,1,"T20I"
"197","V Kohli (INDIA)",76,"136",101,"7","1",75.24,"2","","v South Africa","The Oval","11 Jun 2017","","INDIA","TRUE",2017-06-11,2017,11,6,162,7,1,"ODI"
"198","WTS Porterfield (IRE)",76,"-",94,"8","0",80.85,"2","","v U.A.E.","ICCA Dubai","4 Mar 2017","","IRE","",2017-03-04,2017,4,3,63,8,0,"ODI"
"199","EJG Morgan (ENG)",76,"108",79,"5","2",96.2,"1","","v Ireland","Lord's","7 May 2017","","ENG","",2017-05-07,2017,7,5,127,5,2,"ODI"
"200","MD Gunathilaka (SL)",76,"115",72,"7","2",105.55,"2","","v India","The Oval","8 Jun 2017","","SL","",2017-06-08,2017,8,6,159,7,2,"ODI"
"201","Azhar Ali (PAK)",76,"129",100,"5","1",76,"2","","v England","Cardiff","14 Jun 2017","","PAK","",2017-06-14,2017,14,6,165,5,1,"ODI"
"202","HH Pandya (INDIA)",76,"46",43,"4","6",176.74,"2","","v Pakistan","The Oval","18 Jun 2017","","INDIA","",2017-06-18,2017,18,6,169,4,6,"ODI"
"203","EJG Morgan (ENG)",75,"94",61,"8","2",122.95,"2","","v Bangladesh","The Oval","1 Jun 2017","","ENG","TRUE",2017-06-01,2017,1,6,152,8,2,"ODI"
"204","DA Miller (SA)",75,"155",104,"1","3",72.11,"1","","v Pakistan","Birmingham","7 Jun 2017","","SA","TRUE",2017-06-07,2017,7,6,158,1,3,"ODI"
"205","WU Tharanga (SL)",75,"113",86,"8","0",87.2,"2","","v Zimbabwe","Galle","2 Jul 2017","","SL","TRUE",2017-07-02,2017,2,7,183,8,0,"ODI"
"206","MM Ali (ENG)",75,"95",66,"9","3",113.63,"3","","v South Africa","Manchester","4 Aug 2017","","ENG","TRUE",2017-08-04,2017,4,8,216,9,3,"Test"
"207","N Dickwella (SL)",75,"129",76,"6","1",98.68,"1","","v Bangladesh","Galle","7 Mar 2017","","SL","",2017-03-07,2017,7,3,66,6,1,"Test"
"208","Mosaddek Hossain (BDESH)",75,"221",155,"7","2",48.38,"2","","v Sri Lanka","Colombo (PSS)","15 Mar 2017","","BDESH","",2017-03-15,2017,15,3,74,7,2,"Test"
"209","F du Plessis (SA)",75,"96",70,"6","0",107.14,"1","","v Sri Lanka","The Oval","3 Jun 2017","","SA","",2017-06-03,2017,3,6,154,6,0,"ODI"
"210","Sharjeel Khan (PAK)",74,"67",47,"10","3",157.44,"2","","v Australia","Sydney","22 Jan 2017","","PAK","",2017-01-22,2017,22,1,22,10,3,"ODI"
"211","N Dickwella (SL)",74,"151",80,"7","0",92.5,"1","","v South Africa","Johannesburg","4 Feb 2017","","SL","",2017-02-04,2017,4,2,35,7,0,"ODI"
"212","KS Williamson (NZ)",73,"81",55,"5","2",132.72,"2","","v Bangladesh","Napier","3 Jan 2017","","NZ","TRUE",2017-01-03,2017,3,1,3,5,2,"T20I"
"213","MJ Santner (NZ)",73,"182",103,"6","3",70.87,"2","","v Bangladesh","Wellington","12 Jan 2017","","NZ","",2017-01-12,2017,12,1,12,6,3,"Test"
"214","JJ Roy (ENG)",73,"78",61,"12","0",119.67,"1","","v India","Pune","15 Jan 2017","","ENG","",2017-01-15,2017,15,1,15,12,0,"ODI"
"215","NT Broom (NZ)",73,"120",75,"4","3",97.33,"1","","v Australia","Auckland","30 Jan 2017","","NZ","",2017-01-30,2017,30,1,30,4,3,"ODI"
"216","JE Root (ENG)",73,"106",73,"8","0",100,"1","","v Ireland","Lord's","7 May 2017","","ENG","",2017-05-07,2017,7,5,127,8,0,"ODI"
"217","HM Amla (SA)",73,"97",76,"8","0",96.05,"2","","v England","Leeds","24 May 2017","","SA","",2017-05-24,2017,24,5,144,8,0,"ODI"
"218","N Dickwella (SL)",73,"158",86,"4","0",84.88,"1","","v Pakistan","Cardiff","12 Jun 2017","","SL","",2017-06-12,2017,12,6,163,4,0,"ODI"
"219","H Masakadza (ZIM)",73,"109",86,"9","1",84.88,"2","","v Sri Lanka","Hambantota","10 Jul 2017","","ZIM","",2017-07-10,2017,10,7,191,9,1,"ODI"
"220","Sarfraz Ahmed (PAK)",72,"95",70,"8","1",102.85,"4","","v Australia","Sydney","3 Jan 2017","","PAK","TRUE",2017-01-03,2017,3,1,3,8,1,"Test"
"221","AB de Villiers (SA)",72,"104",59,"4","3",122.03,"1","","v New Zealand","Hamilton","1 Mar 2017","","SA","TRUE",2017-03-01,2017,1,3,60,4,3,"ODI"
"222","PSP Handscomb (AUS)",72,"261",200,"7","0",36,"3","","v India","Ranchi","16 Mar 2017","","AUS","TRUE",2017-03-16,2017,16,3,75,7,0,"Test"
"223","KJ O'Brien (IRE)",72,"67",60,"8","2",120,"2","","v Afghanistan","Greater Noida","22 Mar 2017","","IRE","TRUE",2017-03-22,2017,22,3,81,8,2,"ODI"
"224","JM Bairstow (ENG)",72,"67",44,"7","3",163.63,"1","","v Ireland","Lord's","7 May 2017","","ENG","TRUE",2017-05-07,2017,7,5,127,7,3,"ODI"
"225","Mohammad Hafeez (PAK)",72,"148",104,"8","0",69.23,"2","","v Australia","Melbourne","15 Jan 2017","","PAK","",2017-01-15,2017,15,1,15,8,0,"ODI"
"226","JN Mohammed (WI)",72,"122",91,"7","0",79.12,"2","","v England","North Sound","3 Mar 2017","","WI","",2017-03-03,2017,3,3,62,7,0,"ODI"
"227","Mohammad Shahzad (AFG)",72,"62",43,"6","5",167.44,"1","","v Ireland","Greater Noida","12 Mar 2017","","AFG","",2017-03-12,2017,12,3,71,6,5,"T20I"
"228","Shakib Al Hasan (BDESH)",72,"-",71,"4","1",101.4,"1","","v Sri Lanka","Dambulla","25 Mar 2017","","BDESH","",2017-03-25,2017,25,3,84,4,1,"ODI"
"229","Babar Azam (PAK)",72,"262",201,"8","1",35.82,"2","","v West Indies","Kingston","21 Apr 2017","","PAK","",2017-04-21,2017,21,4,111,8,1,"Test"
"230","AM Rahane (INDIA)",72,"-",112,"4","1",64.28,"1","","v West Indies","North Sound","30 Jun 2017","","INDIA","",2017-06-30,2017,30,6,181,4,1,"ODI"
"231","JDS Neesham (NZ)",71,"74",57,"6","0",124.56,"1","","v South Africa","Christchurch","22 Feb 2017","","NZ","TRUE",2017-02-22,2017,22,2,53,6,0,"ODI"
"232","DA Miller (SA)",71,"80",51,"5","2",139.21,"2","","v England","Southampton","27 May 2017","","SA","TRUE",2017-05-27,2017,27,5,147,5,2,"ODI"
"233","TM Head (AUS)",71,"95",64,"5","2",110.93,"1","","v England","Birmingham","10 Jun 2017","","AUS","TRUE",2017-06-10,2017,10,6,161,5,2,"ODI"
"234","Azhar Ali (PAK)",71,"227",159,"7","0",44.65,"2","","v Australia","Sydney","3 Jan 2017","","PAK","",2017-01-03,2017,3,1,3,7,0,"Test"
"235","KL Rahul (INDIA)",71,"75",47,"6","2",151.06,"1","","v England","Nagpur","29 Jan 2017","","INDIA","",2017-01-29,2017,29,1,29,6,2,"T20I"
"236","Soumya Sarkar (BDESH)",71,"190",137,"8","1",51.82,"2","","v Sri Lanka","Galle","7 Mar 2017","","BDESH","",2017-03-07,2017,7,3,66,8,1,"Test"
"237","SD Hope (WI)",71,"-",112,"1","2",63.39,"1","","v Pakistan","Providence","11 Apr 2017","","WI","",2017-04-11,2017,11,4,101,1,2,"ODI"
"238","WU Tharanga (SL)",71,"129",107,"10","1",66.35,"2","","v Zimbabwe","Colombo (RPS)","14 Jul 2017","","SL","",2017-07-14,2017,14,7,195,10,1,"Test"
"239","RA Jadeja (INDIA)",70,"106",85,"4","3",82.35,"1","","v Sri Lanka","Colombo (SSC)","3 Aug 2017","","INDIA","TRUE",2017-08-03,2017,3,8,215,4,3,"Test"
"240","Ghulam Shabber (UAE)",70,"-",100,"7","0",70,"2","","v P.N.G.","Abu Dhabi","2 Apr 2017","","UAE","",2017-04-02,2017,2,4,92,7,0,"ODI"
"241","Ahmed Shehzad (PAK)",70,"245",191,"8","0",36.64,"2","","v West Indies","Bridgetown","30 Apr 2017","","PAK","",2017-04-30,2017,30,4,120,8,0,"Test"
"242","Tamim Iqbal (BDESH)",70,"105",82,"7","1",85.36,"1","","v India","Birmingham","15 Jun 2017","","BDESH","",2017-06-15,2017,15,6,166,7,1,"ODI"
"243","SC Williams (ZIM)",70,"-",59,"9","1",118.64,"2","","v Scotland","Edinburgh","15 Jun 2017","","ZIM","",2017-06-15,2017,15,6,166,9,1,"ODI"
"244","CR Ervine (ZIM)",69,"87",55,"8","1",125.45,"2","","v Sri Lanka","Hambantota","8 Jul 2017","","ZIM","TRUE",2017-07-08,2017,8,7,189,8,1,"ODI"
"245","Q de Kock (SA)",69,"96",64,"9","1",107.81,"2","","v New Zealand","Hamilton","19 Feb 2017","","SA","",2017-02-19,2017,19,2,50,9,1,"ODI"
"246","KS Williamson (NZ)",69,"117",75,"6","0",92,"1","","v South Africa","Christchurch","22 Feb 2017","","NZ","",2017-02-22,2017,22,2,53,6,0,"ODI"
"247","KJ O'Brien (IRE)",69,"-",53,"7","1",130.18,"1","","v U.A.E.","ICCA Dubai","2 Mar 2017","","IRE","",2017-03-02,2017,2,3,61,7,1,"ODI"
"248","RL Chase (WI)",69,"228",155,"5","0",44.51,"2","","v Pakistan","Roseau","10 May 2017","","WI","",2017-05-10,2017,10,5,130,5,0,"Test"
"249","AN Cook (ENG)",69,"232",192,"10","0",35.93,"3","","v South Africa","Lord's","6 Jul 2017","","ENG","",2017-07-06,2017,6,7,187,10,0,"Test"
"250","CR Woakes (ENG)",68,"92",83,"5","2",81.92,"2","","v West Indies","North Sound","5 Mar 2017","","ENG","TRUE",2017-03-05,2017,5,3,64,5,2,"ODI"
"251","TWM Latham (NZ)",68,"189",111,"11","0",61.26,"2","","v Bangladesh","Christchurch","20 Jan 2017","","NZ","",2017-01-20,2017,20,1,20,11,0,"Test"
"252","N Dickwella (SL)",68,"67",51,"10","1",133.33,"2","","v South Africa","Cape Town","25 Jan 2017","","SL","",2017-01-25,2017,25,1,25,10,1,"T20I"
"253","MT Renshaw (AUS)",68,"167",156,"10","1",43.58,"1","","v India","Pune","23 Feb 2017","","AUS","",2017-02-23,2017,23,2,54,10,1,"Test"
"254","Q de Kock (SA)",68,"100",70,"6","2",97.14,"1","","v New Zealand","Wellington","25 Feb 2017","","SA","",2017-02-25,2017,25,2,56,6,2,"ODI"
"255","PR Stirling (IRE)",68,"-",90,"6","1",75.55,"2","","v Afghanistan","Greater Noida","15 Mar 2017","","IRE","",2017-03-15,2017,15,3,74,6,1,"ODI"
"256","Rahmat Shah (AFG)",68,"73",70,"5","2",97.14,"1","","v Ireland","Greater Noida","17 Mar 2017","","AFG","",2017-03-17,2017,17,3,76,5,2,"ODI"
"257","JO Holder (WI)",68,"-",87,"6","1",78.16,"2","","v Pakistan","Providence","9 Apr 2017","","WI","",2017-04-09,2017,9,4,99,6,1,"ODI"
"258","S Dhawan (INDIA)",68,"95",65,"6","1",104.61,"1","","v Pakistan","Birmingham","4 Jun 2017","","INDIA","",2017-06-04,2017,4,6,155,6,1,"ODI"
"259","AJ Finch (AUS)",68,"98",64,"8","0",106.25,"1","","v England","Birmingham","10 Jun 2017","","AUS","",2017-06-10,2017,10,6,161,8,0,"ODI"
"260","MN Waller (ZIM)",68,"163",98,"8","0",69.38,"3","","v Sri Lanka","Colombo (RPS)","14 Jul 2017","","ZIM","",2017-07-14,2017,14,7,195,8,0,"Test"
"261","Q de Kock (SA)",68,"103",81,"8","0",83.95,"1","","v England","Nottingham","14 Jul 2017","","SA","",2017-07-14,2017,14,7,195,8,0,"Test"
"262","Sikandar Raza (ZIM)",67,"57",56,"7","1",119.64,"2","","v Sri Lanka","Galle","30 Jun 2017","","ZIM","TRUE",2017-06-30,2017,30,6,181,7,1,"ODI"
"263","F du Plessis (SA)",67,"133",97,"4","0",69.07,"1","","v New Zealand","Hamilton","1 Mar 2017","","SA","",2017-03-01,2017,1,3,60,4,0,"ODI"
"264","KL Rahul (INDIA)",67,"125",102,"9","0",65.68,"2","","v Australia","Ranchi","16 Mar 2017","","INDIA","",2017-03-16,2017,16,3,75,9,0,"Test"
"265","Ahmed Shehzad (PAK)",67,"-",83,"6","0",80.72,"1","","v West Indies","Providence","7 Apr 2017","","PAK","",2017-04-07,2017,7,4,97,6,0,"ODI"
"266","F du Plessis (SA)",67,"76",61,"8","0",109.83,"2","","v England","Leeds","24 May 2017","","SA","",2017-05-24,2017,24,5,144,8,0,"ODI"
"267","JJ Roy (ENG)",67,"72",45,"9","1",148.88,"2","","v South Africa","Taunton","23 Jun 2017","","ENG","",2017-06-23,2017,23,6,174,9,1,"T20I"
"268","N Dickwella (SL)",67,"115",94,"10","0",71.27,"4","","v India","Galle","26 Jul 2017","","SL","",2017-07-26,2017,26,7,207,10,0,"Test"
"269","WP Saha (INDIA)",67,"165",134,"4","1",50,"1","","v Sri Lanka","Colombo (SSC)","3 Aug 2017","","INDIA","",2017-08-03,2017,3,8,215,4,1,"Test"
"270","LRPL Taylor (NZ)",66,"140",97,"7","1",68.04,"2","","v South Africa","Hamilton","1 Mar 2017","","NZ","",2017-03-01,2017,1,3,60,7,1,"ODI"
"271","SE Marsh (AUS)",66,"230",197,"4","0",33.5,"2","","v India","Bengaluru","4 Mar 2017","","AUS","",2017-03-04,2017,4,3,63,4,0,"Test"
"272","BKG Mendis (SL)",66,"141",101,"6","0",65.34,"4","","v Zimbabwe","Colombo (RPS)","14 Jul 2017","","SL","",2017-07-14,2017,14,7,195,6,0,"Test"
"273","GC Wilson (IRE)",65,"-",29,"8","3",224.13,"1","","v Scotland","Dubai (DSC)","20 Jan 2017","","IRE","TRUE",2017-01-20,2017,20,1,20,8,3,"T20I"
"274","JC Buttler (ENG)",65,"81",53,"7","0",122.64,"1","","v South Africa","Southampton","27 May 2017","","ENG","TRUE",2017-05-27,2017,27,5,147,7,0,"ODI"
"275","AB de Villiers (SA)",65,"79",58,"4","2",112.06,"1","","v England","Southampton","21 Jun 2017","","SA","TRUE",2017-06-21,2017,21,6,172,4,2,"T20I"
"276","JJ Roy (ENG)",65,"84",56,"10","1",116.07,"1","","v India","Kolkata","22 Jan 2017","","ENG","",2017-01-22,2017,22,1,22,10,1,"ODI"
"277","WU Tharanga (SL)",65,"114",76,"9","0",85.52,"1","","v Bangladesh","Dambulla","28 Mar 2017","","SL","",2017-03-28,2017,28,3,87,9,0,"ODI"
"278","Tamim Iqbal (BDESH)",65,"-",80,"6","1",81.25,"2","","v New Zealand","Dublin","24 May 2017","","BDESH","",2017-05-24,2017,24,5,144,6,1,"ODI"
"279","Sabbir Rahman (BDESH)",65,"-",83,"9","0",78.31,"2","","v New Zealand","Dublin","24 May 2017","","BDESH","",2017-05-24,2017,24,5,144,9,0,"ODI"
"280","L Ronchi (NZ)",65,"72",43,"9","3",151.16,"1","","v Australia","Birmingham","2 Jun 2017","","NZ","",2017-06-02,2017,2,6,153,9,3,"ODI"
"281","SC Williams (ZIM)",65,"116",69,"7","0",94.2,"2","","v Sri Lanka","Galle","30 Jun 2017","","ZIM","",2017-06-30,2017,30,6,181,7,0,"ODI"
"282","Tamim Iqbal (BDESH)",64,"-",88,"8","0",72.72,"1","","v Ireland","Dublin (Malahide)","12 May 2017","","BDESH","TRUE",2017-05-12,2017,12,5,132,8,0,"ODI"
"283","F Behardien (SA)",64,"58",52,"4","2",123.07,"1","","v England","Southampton","21 Jun 2017","","SA","TRUE",2017-06-21,2017,21,6,172,4,2,"T20I"
"284","Mominul Haque (BDESH)",64,"187",116,"10","1",55.17,"1","","v New Zealand","Wellington","12 Jan 2017","","BDESH","",2017-01-12,2017,12,1,12,10,1,"Test"
"285","AB de Villiers (SA)",64,"81",62,"4","0",103.22,"1","","v Sri Lanka","Cape Town","7 Feb 2017","","SA","",2017-02-07,2017,7,2,38,4,0,"ODI"
"286","Mahmudullah (BDESH)",64,"200",149,"7","0",42.95,"4","","v India","Hyderabad (Deccan)","9 Feb 2017","","BDESH","",2017-02-09,2017,9,2,40,7,0,"Test"
"287","Mohammad Shahzad (AFG)",64,"112",87,"6","0",73.56,"1","","v Zimbabwe","Harare","19 Feb 2017","","AFG","",2017-02-19,2017,19,2,50,6,0,"ODI"
"288","KL Rahul (INDIA)",64,"135",97,"10","1",65.97,"2","","v Australia","Pune","23 Feb 2017","","INDIA","",2017-02-23,2017,23,2,54,10,1,"Test"
"289","T Bavuma (SA)",64,"227",164,"10","0",39.02,"1","","v New Zealand","Dunedin","8 Mar 2017","","SA","",2017-03-08,2017,8,3,67,10,0,"Test"
"290","JE Root (ENG)",64,"122",65,"4","2",98.46,"1","","v New Zealand","Cardiff","6 Jun 2017","","ENG","",2017-06-06,2017,6,6,157,4,2,"ODI"
"291","WU Tharanga (SL)",64,"134",93,"10","0",68.81,"2","","v India","Galle","26 Jul 2017","","SL","",2017-07-26,2017,26,7,207,10,0,"Test"
"292","AB de Villiers (SA)",63,"59",44,"2","3",143.18,"1","","v Sri Lanka","Cape Town","25 Jan 2017","","SA","",2017-01-25,2017,25,1,25,2,3,"T20I"
"293","SK Raina (INDIA)",63,"57",45,"2","5",140,"1","","v England","Bengaluru","1 Feb 2017","","INDIA","",2017-02-01,2017,1,2,32,2,5,"T20I"
"294","DG Brownlie (NZ)",63,"137",78,"7","0",80.76,"1","","v Australia","Hamilton","5 Feb 2017","","NZ","",2017-02-05,2017,5,2,36,7,0,"ODI"
"295","Mohammad Shahzad (AFG)",63,"56",43,"12","0",146.51,"1","","v Ireland","Greater Noida","17 Mar 2017","","AFG","",2017-03-17,2017,17,3,76,12,0,"ODI"
"296","RA Jadeja (INDIA)",63,"133",95,"4","4",66.31,"2","","v Australia","Dharamsala","25 Mar 2017","","INDIA","",2017-03-25,2017,25,3,84,4,4,"Test"
"297","RL Chase (WI)",63,"201",151,"7","1",41.72,"1","","v Pakistan","Kingston","21 Apr 2017","","WI","",2017-04-21,2017,21,4,111,7,1,"Test"
"298","NT Broom (NZ)",63,"-",76,"7","0",82.89,"1","","v Bangladesh","Dublin","24 May 2017","","NZ","",2017-05-24,2017,24,5,144,7,0,"ODI"
"299","MS Dhoni (INDIA)",63,"78",52,"7","2",121.15,"1","","v Sri Lanka","The Oval","8 Jun 2017","","INDIA","",2017-06-08,2017,8,6,159,7,2,"ODI"
"300","LRPL Taylor (NZ)",63,"106",82,"6","0",76.82,"1","","v Bangladesh","Cardiff","9 Jun 2017","","NZ","",2017-06-09,2017,9,6,160,6,0,"ODI"
"301","S Dhawan (INDIA)",63,"-",59,"10","0",106.77,"1","","v West Indies","Port of Spain","25 Jun 2017","","INDIA","",2017-06-25,2017,25,6,176,10,0,"ODI"
"302","F du Plessis (SA)",63,"198",128,"9","0",49.21,"3","","v England","Nottingham","14 Jul 2017","","SA","",2017-07-14,2017,14,7,195,9,0,"Test"
"303","JM Bairstow (ENG)",63,"72",58,"6","1",108.62,"3","","v South Africa","The Oval","27 Jul 2017","","ENG","",2017-07-27,2017,27,7,208,6,1,"Test"
"304","Samiullah Shenwari (AFG)",62,"95",77,"5","1",80.51,"2","","v Ireland","Greater Noida","24 Mar 2017","","AFG","TRUE",2017-03-24,2017,24,3,83,5,1,"ODI"
"305","BA Stokes (ENG)",62,"42",40,"2","5",155,"1","","v India","Pune","15 Jan 2017","","ENG","",2017-01-15,2017,15,1,15,2,5,"ODI"
"306","BKG Mendis (SL)",62,"120",94,"10","0",65.95,"1","","v South Africa","Port Elizabeth","28 Jan 2017","","SL","",2017-01-28,2017,28,1,28,10,0,"ODI"
"307","HM Amla (SA)",62,"57",43,"9","1",144.18,"1","","v New Zealand","Auckland","17 Feb 2017","","SA","",2017-02-17,2017,17,2,48,9,1,"T20I"
